match_id,date,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,year,day_of_week,target,venue_team1_win_pct,h2h_win_pct,team1_form,team2_form,toss_impact,match_number,season_stage,team1_top_batsman_avg,team2_top_bowler_sr,is_playoff,rivalry_score,venue_toss_impact,team1_toss_preference,days_since_last,month,team1_strength,team2_strength,pressure_index,team1_top3_batting_avg,team2_top3_batting_avg,team1_top3_bowling_sr,team2_top3_bowling_sr,team1_powerplay_avg,team2_powerplay_avg,team1_powerplay_wickets,team2_powerplay_wickets,powerplay_dominance,win_correlation
336008,2008-05-07,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0,7,2008,Wednesday,1,0.6049382716049380,0.4705882352941180,0.5,0.5,1,27,middle,36.69354838709680,109.67213114754100,0,0.1,0.5384615384615380,0.3387096774193550,3.0,5,0.5226579520697170,0.5403050108932460,0.03,15.0,15.666666666666700,0.0,4.629629629629630,5.666666666666670,8.0,0.0,2.0,-2.333333333333330,0
336009,2008-05-08,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,2008,Thursday,0,0.4625,0.4285714285714290,0.6666666666666670,0.75,1,28,middle,34.173228346456700,111.30434782608700,0,0.1,0.4390243902439020,0.3858267716535430,8.0,5,0.5339880952380950,0.6101785714285720,0.03,0.0,29.0,0.0,0.0,0.0,10.333333333333300,0.0,0.0,-10.333333333333300,1
336010,2008-05-08,Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,2008,Thursday,1,0.5802469135802470,0.6,0.6666666666666670,0.3333333333333330,1,29,middle,35.725806451612900,109.82142857142900,0,0.8,0.6585365853658540,0.314516129032258,9.0,5,0.6207407407407410,0.4274074074074070,0.24,12.333333333333300,10.666666666666700,2.5641025641025600,7.539682539682540,6.833333333333330,5.833333333333330,1.0,2.0,1.0,1
336011,2008-05-09,Jaipur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,0,8,2008,Friday,1,0.6078431372549020,1.0,1.0,0.4,1,30,middle,36.44230769230770,108.88888888888900,0,0.1,0.5625,0.3653846153846150,5.0,5,0.8823529411764710,0.3423529411764710,0.03,24.0,24.0,0.0,0.0,8.333333333333330,8.333333333333330,0.0,0.0,0.0,0
336013,2008-05-10,Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,18,0,2008,Saturday,1,0.6774193548387100,0.5,0.6,0.5,0,31,middle,37.578125,109.6,0,0.1,0.5853658536585370,0.5234375,4.0,5,0.5932258064516130,0.5532258064516130,0.03,14.666666666666700,11.333333333333300,3.1746031746031700,0.0,8.833333333333330,5.833333333333330,2.0,0.0,3.000000000000000,1
336015,2008-05-11,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,0,3,2008,Sunday,1,0.6078431372549020,0.6428571428571430,1.0,0.4,1,32,middle,36.44230769230770,109.14728682170500,0,0.1,0.5625,0.3653846153846150,2.0,5,0.7752100840336140,0.4494957983193280,0.03,4.333333333333330,21.5,0.0,0.0,3.5,7.833333333333330,0.0,0.0,-4.333333333333330,0
336014,2008-05-11,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,2008,Sunday,0,0.1666666666666670,0.3333333333333330,0.0,0.4,1,33,middle,30.0,110.15151515151500,0,0.1,0.0,0.4358974358974360,10.0,5,0.1500000000000000,0.41,0.03,14.333333333333300,14.333333333333300,5.458089668615980,2.7777777777777800,9.166666666666670,7.166666666666670,2.0,1.0,2.0000000000000000,0
336016,2008-05-12,Chandigarh,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,0,9,2008,Monday,1,0.4909090909090910,0.5625,0.8,0.25,0,34,middle,33.44,109.82142857142900,0,0.1,0.4074074074074070,0.248,9.0,5,0.6360227272727270,0.3785227272727270,0.03,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,-7.0,0
336017,2008-05-13,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0,2008,Tuesday,1,0.5802469135802470,0.5625,0.75,0.2,1,35,middle,35.725806451612900,109.14728682170500,0,0.1,0.6585365853658540,0.314516129032258,5.0,5,0.642824074074074,0.3853240740740740,0.03,15.5,8.666666666666670,0.0,5.263157894736840,5.833333333333330,6.166666666666670,0.0,3.0,-0.3333333333333340,0
336018,2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0,9,2008,Wednesday,1,0.6049382716049380,0.5,0.6,0.6,1,36,middle,36.69354838709680,111.30434782608700,0,1.0,0.5384615384615380,0.3387096774193550,7.0,5,0.5714814814814820,0.5714814814814820,0.3,35.0,9.333333333333330,0.0,7.407407407407410,13.0,4.666666666666670,0.0,2.0,8.333333333333330,1
